[20:37:34][系统] 系统开始初始化！
[20:37:34][系统] 当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\5.pms
[20:37:34][系统] 任务名：132
[20:37:34][系统] 控制台可见：true
[20:37:34][系统] 当前运行模式：群控
[20:37:34][系统] 初始化通讯端口：22226 成功
[20:37:34][系统] 初始化完成！
[20:37:34][用户] 启动监测
[20:37:35][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:36][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:37][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:38][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:39][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:40][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:41][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:42][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:43][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:44][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:45][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:46][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:47][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:48][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:49][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:50][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:51][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:52][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:53][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:54][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:55][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:56][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:57][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:58][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:37:59][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:00][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:01][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:02][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:03][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:04][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:05][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:06][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:07][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:08][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:09][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:10][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:11][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:12][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:13][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:14][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:15][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:16][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:17][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:18][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:19][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:20][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:21][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:22][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:23][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:24][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:25][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:26][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:27][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:28][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:29][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:30][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:31][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:32][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:33][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:34][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:35][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:36][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:37][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:38][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:39][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:40][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:41][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:42][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:43][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:44][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:45][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:46][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:47][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:48][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:49][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:50][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:51][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:52][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:53][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:54][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:55][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:38:56][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:38:57][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:38:58][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:38:59][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:00][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:01][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:02][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:03][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:04][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:05][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:06][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:07][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:08][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:09][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:10][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:11][用户] 当前系统已使用内存[88] 超过或达到系统设定阈值[50]
[20:39:12][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:13][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:14][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:15][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:16][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:17][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:18][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:19][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:20][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:21][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[20:39:22][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:23][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:24][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[20:39:25][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
