[21:27:44][系统] 系统开始初始化！
[21:27:44][系统] 当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\4.pms
[21:27:44][系统] 任务名：abc
[21:27:44][系统] 控制台可见：true
[21:27:44][系统] 当前运行模式：群控
[21:27:44][系统] 初始化通讯端口：22226 成功
[21:27:44][系统] 初始化完成！
[21:27:45][用户] 启动监测
[21:28:02][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:02][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:03][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:04][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:05][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:06][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:07][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:08][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:09][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:10][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:11][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:12][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:13][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:14][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:16][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:17][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:18][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:19][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:20][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:21][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:22][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:23][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:24][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:25][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:26][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:27][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:28][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:29][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:30][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:32][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:33][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:34][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:35][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:36][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:37][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:38][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:39][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:40][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:41][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:42][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:43][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[21:28:44][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:45][用户] 当前系统已使用CPU[0] 超过或达到系统设定阈值[10]
[21:28:46][用户] 当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
