[22:27:32][系统]系统开始初始化！
[22:27:32][系统]当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\4.pms
[22:27:32][系统]任务名：abc
[22:27:32][系统]控制台可见：true
[22:27:32][系统]当前运行模式：群控
[22:27:34][系统]初始化通讯端口：22226 失败
[22:27:34][系统]初始化完成！
[22:27:34][用户]启动监测
[22:27:37][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:37][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:38][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:39][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:40][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:41][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:42][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:43][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:44][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:45][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:46][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:47][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:48][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:49][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:50][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:51][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:52][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:53][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:54][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:55][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:56][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[22:27:57][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
