[20:56:48][系统] 系统开始初始化！
[20:56:48][系统] 当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\5.pms
[20:56:48][系统] 任务名：132
[20:56:48][系统] 控制台可见：true
[20:56:48][系统] 当前运行模式：群控
[20:56:48][系统] 初始化通讯端口：22226 成功
[20:56:48][系统] 初始化完成！
[20:56:48][用户] 启动监测
[20:56:49][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:50][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:51][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:52][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:53][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:54][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:55][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:56][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:57][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:58][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:56:59][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:00][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:01][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:02][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:03][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:04][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:05][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:06][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:07][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:08][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:09][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:10][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:11][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:12][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:13][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:14][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:15][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:16][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:17][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:18][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:19][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:20][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:21][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:22][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:23][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:24][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:25][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:26][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:27][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:28][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:29][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:30][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:31][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:32][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:33][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:34][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:35][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:36][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:37][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:38][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:39][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:40][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:41][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:42][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:43][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:44][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:45][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:46][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:47][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
[20:57:48][用户] 当前系统已使用内存：83 超过或达到系统设定阈值50
