[10:28:15][系统]系统开始初始化！
[10:28:15][系统]当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\4.pms
[10:28:15][系统]任务名：abc
[10:28:15][系统]控制台可见：true
[10:28:15][系统]当前运行模式：群控
[10:28:17][系统]初始化通讯端口：22226 失败
[10:28:17][系统]初始化完成！
[10:28:17][用户]启动监测
[10:28:18][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:19][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:20][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:21][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:22][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:23][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:24][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:25][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:26][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:27][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:28][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:29][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:30][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:31][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:32][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:33][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:34][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:35][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:36][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:37][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:38][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:39][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:40][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:41][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:42][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:43][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:44][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[10:28:45][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
